epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,541.595,0.83114,1.99043,1.08421,0.45541,0.3899,0.41056,0.35132,0.66819,1.63294,0.9879,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,757.759,0.82912,1.97884,1.08542,0.47225,0.38754,0.41563,0.35282,0.66963,1.61817,0.98544,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,972.228,0.82291,1.95594,1.08132,0.48112,0.40248,0.42056,0.35775,0.66966,1.6035,0.98608,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1188.08,0.82295,1.94598,1.07988,0.48893,0.39271,0.43259,0.3688,0.66971,1.58928,0.98538,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1411.86,0.82285,1.92872,1.07778,0.44896,0.41599,0.43209,0.36935,0.66547,1.57378,0.98232,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1635.65,0.82323,1.93525,1.08097,0.47396,0.41405,0.43853,0.37526,0.66204,1.56357,0.98038,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1859.88,0.84524,1.99453,1.09165,0.46204,0.43124,0.44219,0.37931,0.65812,1.55318,0.97757,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2083.04,0.84042,1.97441,1.09016,0.52324,0.38341,0.44252,0.38095,0.65429,1.53942,0.97445,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2305.4,0.83017,1.94121,1.08786,0.5104,0.39879,0.45178,0.38874,0.65159,1.52272,0.97155,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2526.6,0.83279,1.9245,1.08624,0.497,0.42037,0.45716,0.39379,0.64815,1.50482,0.9693,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2885,0.83353,1.90196,1.08486,0.52655,0.4173,0.46511,0.40003,0.64701,1.49176,0.96917,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3182.74,0.8248,1.89082,1.08152,0.53052,0.41885,0.47036,0.40501,0.64494,1.4796,0.96756,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3484.82,0.82083,1.87715,1.08008,0.55978,0.40589,0.47673,0.41053,0.64248,1.46941,0.96752,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3824.07,0.81459,1.84677,1.07588,0.54588,0.41837,0.48364,0.41729,0.64105,1.45796,0.96669,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4129.16,0.81328,1.82196,1.0757,0.51796,0.43499,0.48558,0.41881,0.63904,1.44811,0.96538,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4421.15,0.81427,1.82497,1.07528,0.51871,0.44098,0.49075,0.42457,0.63755,1.43615,0.96483,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4714.87,0.8071,1.79263,1.07365,0.52877,0.44605,0.49127,0.42541,0.63646,1.43046,0.96528,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5025.63,0.80059,1.7808,1.06573,0.53059,0.44515,0.49536,0.42888,0.63542,1.42312,0.96416,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5339.01,0.80206,1.76979,1.06809,0.58027,0.42336,0.49722,0.43064,0.63403,1.41622,0.9627,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5654.15,0.80196,1.74361,1.06931,0.58097,0.42663,0.50079,0.43342,0.63307,1.41017,0.96224,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5969.84,0.78953,1.72931,1.06719,0.55793,0.4382,0.50176,0.43473,0.63157,1.40352,0.96165,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6309.14,0.79254,1.713,1.06588,0.57099,0.43767,0.50562,0.43848,0.62979,1.39658,0.96096,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6663.69,0.78104,1.6998,1.06095,0.58107,0.43435,0.50782,0.44069,0.62907,1.39012,0.96083,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7176.68,0.79172,1.69589,1.06205,0.56099,0.44943,0.50943,0.44227,0.62824,1.38347,0.96051,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7508.01,0.77936,1.67027,1.05868,0.59597,0.43411,0.51177,0.44428,0.62709,1.37647,0.95965,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7825.33,0.77926,1.65808,1.05853,0.59804,0.43617,0.51237,0.44462,0.62613,1.37048,0.95914,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8131.26,0.77937,1.63371,1.05574,0.60477,0.43397,0.51504,0.44667,0.62548,1.36549,0.95885,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8448.28,0.7757,1.61473,1.05446,0.60704,0.43431,0.51716,0.44838,0.62496,1.36088,0.95869,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8776.48,0.76987,1.60798,1.05236,0.61337,0.43457,0.51952,0.45029,0.62442,1.3557,0.9586,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9061.08,0.76639,1.59235,1.05009,0.6347,0.42569,0.52171,0.45231,0.62399,1.35166,0.95858,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9369.24,0.76439,1.56307,1.04808,0.63285,0.42807,0.52256,0.45256,0.62325,1.3474,0.95823,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9679.86,0.76447,1.56634,1.04836,0.62644,0.43079,0.52386,0.45435,0.62262,1.34333,0.95803,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9979.47,0.76358,1.53858,1.04633,0.56735,0.45864,0.52491,0.45492,0.62203,1.3397,0.95792,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10280.7,0.74978,1.52545,1.04364,0.56068,0.46515,0.52598,0.45587,0.62155,1.33624,0.95775,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10598.4,0.75096,1.51404,1.04069,0.56209,0.46636,0.52788,0.45734,0.62115,1.3334,0.95755,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10904.1,0.74632,1.49838,1.03812,0.56164,0.47219,0.52929,0.45877,0.62058,1.33001,0.95727,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11217.5,0.74674,1.48539,1.04065,0.56048,0.4754,0.53103,0.46094,0.62011,1.32701,0.95715,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11531.3,0.74387,1.47329,1.03415,0.56103,0.47611,0.5318,0.46149,0.61935,1.32358,0.95677,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11886,0.7394,1.45319,1.0374,0.56666,0.47499,0.53276,0.46224,0.61883,1.32059,0.95658,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12200.9,0.73713,1.4448,1.03537,0.56676,0.47796,0.53417,0.46348,0.61801,1.31754,0.95613,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12508.2,0.73536,1.43403,1.03359,0.5634,0.48168,0.535,0.46432,0.61754,1.31509,0.95586,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12775.6,0.73004,1.41381,1.03117,0.56343,0.48127,0.53587,0.46526,0.61703,1.31227,0.95564,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13007,0.72657,1.39002,1.02974,0.57048,0.47581,0.53623,0.46568,0.6167,1.30957,0.95545,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,249.955,0.71175,1.38705,1.02357,0.56879,0.47792,0.53649,0.46555,0.61666,1.30892,0.95546,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,570.414,0.71247,1.38997,1.0231,0.5703,0.47597,0.53743,0.46649,0.61653,1.308,0.95539,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,901.965,0.7086,1.38146,1.02382,0.57916,0.4669,0.53814,0.46698,0.61622,1.30693,0.95523,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,1190.06,0.70424,1.36563,1.01988,0.59021,0.46295,0.53862,0.46739,0.61604,1.30608,0.95502,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,1562.36,0.706,1.35615,1.01983,0.59699,0.46099,0.53909,0.46821,0.61583,1.30499,0.95496,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,1871.33,0.70334,1.34303,1.01894,0.59875,0.46029,0.53917,0.46846,0.61571,1.30387,0.95492,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2148.72,0.69805,1.33217,1.0173,0.60155,0.46082,0.5399,0.46917,0.61567,1.30278,0.95494,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2428.97,0.70593,1.33238,1.01961,0.62464,0.4532,0.54041,0.46978,0.61537,1.30165,0.95479,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2645.66,0.70012,1.31766,1.01887,0.62385,0.45387,0.54081,0.4701,0.61504,1.30027,0.95458,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2858.51,0.6882,1.29449,1.01481,0.62544,0.45303,0.54137,0.47066,0.6148,1.29914,0.95439,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3075.89,0.69128,1.28071,1.01545,0.62545,0.45201,0.54291,0.47208,0.61462,1.2976,0.95418,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3285.06,0.69353,1.27453,1.01503,0.62766,0.45145,0.54352,0.47258,0.6142,1.29678,0.95407,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3492.22,0.68386,1.25473,1.01034,0.63349,0.44743,0.54427,0.47333,0.61405,1.29582,0.95396,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3711.97,0.68317,1.24122,1.01018,0.57949,0.47531,0.54506,0.4739,0.61383,1.29461,0.9539,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3923.65,0.67769,1.22906,1.00729,0.57873,0.47987,0.54559,0.47445,0.61355,1.29334,0.95372,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4133.97,0.67448,1.20863,1.00779,0.57482,0.48335,0.54634,0.47518,0.61314,1.29218,0.95355,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4358.81,0.5688,0.89474,0.94621,0.57361,0.48567,0.54674,0.47553,0.61287,1.2911,0.95332,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4549.31,0.55789,0.85265,0.94132,0.58721,0.47997,0.54711,0.47588,0.61257,1.29009,0.95306,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4739.15,0.55304,0.83255,0.93726,0.58414,0.47922,0.54695,0.47601,0.61183,1.28892,0.9524,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4933.94,0.54779,0.8083,0.93575,0.58566,0.47935,0.5475,0.47646,0.6119,1.28714,0.95281,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5122.94,0.54224,0.79618,0.93385,0.58491,0.48197,0.5483,0.47748,0.61174,1.28591,0.95273,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5310.79,0.53944,0.78622,0.93223,0.58687,0.48202,0.54872,0.47797,0.61144,1.28466,0.95251,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5500.98,0.53227,0.76128,0.92673,0.58943,0.48228,0.54921,0.47838,0.6105,1.28317,0.95181,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5689.81,0.52776,0.75016,0.92579,0.58858,0.48287,0.54961,0.47927,0.61029,1.28217,0.95171,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5877.4,0.52787,0.74317,0.92487,0.58777,0.48349,0.55012,0.47989,0.6101,1.28112,0.95148,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6074,0.52352,0.73085,0.92314,0.58875,0.48601,0.55062,0.4803,0.60964,1.27967,0.95125,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
